engine,algo,tier,mode,metric,threads,batch,count,ms,rate_per_s
UA,xoshiro256**,avx2,batch,normal,4,65536,16000000,194.291900,82350319.296481
UA,xoshiro256**,avx2,batch,u64,8,256,32000000,7.023800,4555938370.912173
UA,xoshiro256**,avx2,batch,double,8,256,32000000,15.140700,2113508616.557291
UA,xoshiro256**,avx2,batch,normal,8,256,32000000,203.955300,156897124.047081
UA,xoshiro256**,avx2,batch,u64,8,1024,32000000,8.620900,3711909440.045097
UA,xoshiro256**,avx2,batch,double,8,1024,32000000,16.337700,1958660030.585355
UA,xoshiro256**,avx2,batch,normal,8,1024,32000000,206.440600,155008268.694121
UA,xoshiro256**,avx2,batch,u64,8,4096,32000000,7.646800,4184757032.618125
UA,xoshiro256**,avx2,batch,double,8,4096,32000000,17.180000,1862630965.464344
UA,xoshiro256**,avx2,batch,normal,8,4096,32000000,211.466300,151324348.127260
UA,xoshiro256**,avx2,batch,u64,8,16384,32000000,10.687200,2994236092.764062
UA,xoshiro256**,avx2,batch,double,8,16384,32000000,16.793700,1905476453.964849
UA,xoshiro256**,avx2,batch,normal,8,16384,32000000,212.571600,150537512.993267
UA,xoshiro256**,avx2,batch,u64,8,65536,32000000,13.093100,2444035405.844553
UA,xoshiro256**,avx2,batch,double,8,65536,32000000,21.498700,1488462091.485332
UA,xoshiro256**,avx2,batch,normal,8,65536,32000000,212.594300,150521439.211710
UA,philox4x32-10,avx2,batch,u64,1,256,4000000,21.817500,183339062.719112
UA,philox4x32-10,avx2,batch,double,1,256,4000000,26.273000,152247554.858001
UA,philox4x32-10,avx2,batch,normal,1,256,4000000,176.904800,22611031.470314
UA,philox4x32-10,avx2,batch,u64,1,1024,4000000,20.314800,196900782.040885
UA,philox4x32-10,avx2,batch,double,1,1024,4000000,28.273500,141475233.163817
UA,philox4x32-10,avx2,batch,normal,1,1024,4000000,166.995400,23952755.583229
UA,philox4x32-10,avx2,batch,u64,1,4096,4000000,20.299900,197045305.687259
UA,philox4x32-10,avx2,batch,double,1,4096,4000000,26.982600,148243683.110671
UA,philox4x32-10,avx2,batch,normal,1,4096,4000000,166.992400,23953185.886294
UA,philox4x32-10,avx2,batch,u64,1,16384,4000000,21.360500,187261534.332412
UA,philox4x32-10,avx2,batch,double,1,16384,4000000,26.118900,153145806.287376
UA,philox4x32-10,avx2,batch,normal,1,16384,4000000,175.379300,22807708.777713
UA,philox4x32-10,avx2,batch,u64,1,65536,4000000,21.859300,182988476.155407
UA,philox4x32-10,avx2,batch,double,1,65536,4000000,26.383700,151608758.362350
UA,philox4x32-10,avx2,batch,normal,1,65536,4000000,165.299500,24198500.299619
UA,philox4x32-10,avx2,batch,u64,2,256,8000000,29.061900,275274500.104675
UA,philox4x32-10,avx2,batch,double,2,256,8000000,36.462200,219405302.013478
UA,philox4x32-10,avx2,batch,normal,2,256,8000000,230.884700,34649329.297221
UA,philox4x32-10,avx2,batch,u64,2,1024,8000000,28.901000,276807030.679367
